,Price,Beds_Count,Baths_Count,Sq_Ft_Count,Address,Year Built Details,Roof,Property Sub Type,Attached Garage,Sewer,Attribution Contact,Possible Bedrooms,Fireplace,Cooling,Association Fee,Flooring,Window Features,Parking Features,Patio And Porch Features,Heating,Fencing
90,"$439,999",4,3,2001,7652 Distant Mirage Ct,RESALE,"Composition, Shingle, Tile",Single Family Residence,Yes,Public Sewer,(702) 339-6987,4,"eatures: Family Room, Gas, Glass Doors, Living Room, Multi-Sided","Central Air, Electric",19,"Carpet, Linoleum, Vinyl",Blinds,"Attached, Garage, Garage Door Opener, Inside Entrance, Open, Private, Storage",,"Central, Electric","Block, Brick, Back Yard"
91,"$245,000",2,1,None,7242 Vireo Dr,RESALE,"Composition, Shingle",Townhouse,Yes,Public Sewer,702-750-2611,3,,"Central Air, Electric",ncludes: None,"Laminate, Tile",Drapes,"Attached Carport, Attached, Garage, Garage Door Opener, Private",,"Central, Gas","Block, Back Yard"
92,"$719,900",4,4,2935,140 Clybourn Ct,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-656-2525,5,"eatures: Family Room, Gas","Central Air, Electric, Refrigerated, 2 Units", Frequency: Monthly,"Carpet, Ceramic Tile","Double Pane Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance, Shelves",,"Gas, Multiple Heating Units","Block, Back Yard"
93,"$469,900",3,3,2001,147 Duckhook Ave,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,(702) 289-9814,4,,"Central Air, Electric",180,"Carpet, Ceramic Tile","Double Pane Windows, Window Treatments","Attached, Garage, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
94,"$1,150,000",4,5,4053,9521 Queen Charlotte Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,(702) 686-6638,6,"eatures: Gas, Great Room","Central Air, Electric, 2 Units",442,"Carpet, Tile","Blinds, Double Pane Windows, Low Emissivity Windows","Attached, Garage, Inside Entrance",,"Central, Gas, Multiple Heating Units","Back Yard, Wrought Iron"
95,"$483,000",3,2,1423,3146 Bronze Leaf St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 904-0011,3,"eatures: Family Room, Gas, Multi-Sided","Central Air, Electric", Frequency: Monthly,"Laminate, Tile","Blinds, Insulated Windows","Attached, Garage, Garage Door Opener",Patio,"Central, Gas","Block, Back Yard"
96,"$219,999",2,2,1080,1405 S Nellis Blvd Unit 2004,RESALE,Tile,Condominium,,Public Sewer,702-487-5500,2,"eatures: Living Room, Other","Central Air, Electric",221,"Carpet, Laminate, Linoleum, Tile, Vinyl",Double Pane Windows,"Assigned, Garage Door Opener, Guest, One Space",Balcony,"Central, None",None
97,"$179,000",2,None,None,5180 Indian River Dr Unit 349,RESALE,Tile,Condominium,,Public Sewer,(702) 508-1616,2,,"Central Air, Electric",280,"Carpet, Linoleum, Tile, Vinyl",Blinds,"Assigned, Covered, Detached Carport, Guest","Balcony, Covered, Patio","Central, Electric",None
98,"$359,999",4,2,2045,501 Elizabeth Ave,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,702-487-5500,4,,"Central Air, Electric",,"Carpet, Laminate, Linoleum, Tile, Vinyl",,"Attached, Garage",,"Central, None","Block, Back Yard"
99,"$770,000",3,4,3405,5601 MacKenzie Park Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 400-9527,5,,"Central Air, Electric, 2 Units",110,"Carpet, Tile","Blinds, Double Pane Windows","Attached, Garage, Private","Covered, Patio","Central, Gas, Multiple Heating Units, Solar","Block, Back Yard"
100,"$799,000",4,3,2389,2259 Summerwind Cir,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 234-1794,5,"eatures: Family Room, Glass Doors","Central Air, Electric", Frequency: Monthly,"Carpet, Linoleum, Vinyl","Double Pane Windows, Low Emissivity Windows, Window Treatments","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas","Block, Back Yard"
101,"$217,000",2,1,None,3830 Surfrider Ln Unit 3B,RESALE,"Composition, Shingle",Townhouse,No,Public Sewer,702-580-5723,2,,"Central Air, Electric",150,"Laminate, Tile",,"Detached, Garage, Private",,"Central, Gas","Block, Back Yard"
102,"$840,000",6,4,4040,10921 Maryville Ave,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-583-3030,7,"eatures: Family Room, Gas","Central Air, Electric, 2 Units", Frequency: Monthly,"Ceramic Tile, Laminate","Blinds, Double Pane Windows","Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio, Porch","Central, Gas, Multiple Heating Units","Block, Back Yard"
103,"$339,000",4,2,1468,2404 Canosa Ave,RESALE,"Composition, Shingle",Single Family Residence,,Public Sewer,702-888-3337,4,"eatures: Family Room, Other","Central Air, Electric",,"Carpet, Laminate",Double Pane Windows,,"Covered, Patio","Central, Gas","Block, Back Yard"
104,"$720,000",4,4,3160,8242 Warm Skye Dr,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-595-5688,5,,"Central Air, Electric, Refrigerated, 2 Units", Frequency: Quarterly,"Carpet, Laminate","Blinds, Double Pane Windows, Drapes, Window Treatments","Attached, Finished Garage, Garage, Inside Entrance, Storage","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
105,"$819,900",5,4,3827,668 Italian Roast Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-233-4663,6,"eatures: Family Room, Gas","Central Air, Electric, 2 Units",30,"Carpet, Tile","Double Pane Windows, Plantation Shutters","Attached, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
106,"$710,000",4,3,3536,771 Canary Wharf Dr,RESALE,Tile,Single Family Residence,,Public Sewer,702-685-3000,5,"eatures: Family Room, Gas","Central Air, Electric, 2 Units", Frequency: Quarterly,"Laminate, Tile",Blinds,"Epoxy Flooring, Inside Entrance, Shelves",,"Gas, Multiple Heating Units",Back Yard
107,"$219,900",1,None,None,9050 W Warm Springs Rd Unit 1116,RESALE,"Pitched, Tile",Condominium,,Public Sewer,702-388-9924,1,"eatures: Gas, Living Room","Central Air, Electric, Refrigerated",239,"Ceramic Tile, Laminate","Blinds, Double Pane Windows, Window Treatments","Assigned, Covered, Detached Carport",Balcony,"Central, Gas","Block, Full"
108,"$217,000",2,2,None,1390 Hialeah Dr Unit D,RESALE,Flat,Condominium,,Public Sewer,702-583-3343,2,,"Central Air, Electric",265,Laminate,"Double Pane Windows, Plantation Shutters","Attached Carport, Assigned, Covered, Uncovered",Balcony,"Central, Gas",None
109,"$375,000",3,2,1544,4777 El Escorial Dr,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,(702) 408-8384,3,"eatures: Gas, Living Room","Central Air, Electric",,"Carpet, Ceramic Tile, Laminate","Blinds, Window Treatments","Attached, Exterior Access Door, Garage, Shelves","Covered, Patio","Central, Gas","Block, Brick, Back Yard"
110,"$258,888",2,1,None,4434 Honeydew Cir,RESALE,"Composition, Shingle",Townhouse,Yes,Public Sewer,(858) 428-9541,2,,"Central Air, Electric",,"Carpet, Tile",,"Attached Carport, Attached, Garage, Inside Entrance, Private","Covered, Patio","Central, Gas","Brick, Back Yard"
111,"$384,900",1,None,None,322 Karen Ave Unit 2904,RESALE,,,,,(215) 964-2995,1,,"Electric, 1 Unit", Frequency: Monthly,Hardwood,"Low Emissivity Windows, Window Treatments","Electric Vehicle Charging Station(s), Valet, Guest",Terrace,"Central, Electric",
112,"$490,000",2,3,1752,6932 Emerald Springs Ln,RESALE,Tile,Townhouse,Yes,Public Sewer,702-724-0040,2,"eatures: Gas, Glass Doors, Living Room","Central Air, Electric", Frequency: Monthly,Tile,"Blinds, Double Pane Windows, Window Treatments","Attached, Garage, Garage Door Opener, Private, Guest",Patio,"Central, Gas",None
113,"$399,899",4,3,1846,3025 Gulf Breeze Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 528-9913,4,,"Central Air, Electric",100,"Carpet, Laminate",,"Attached, Garage",,"Central, Gas","Block, Back Yard"
114,"$1,099,000",6,5,4338,7210 El Malpais St,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-745-1205,7,"eatures: Bath, Living Room, Multi-Sided","Central Air, Electric, 2 Units",112,"Carpet, Hardwood, Marble, Tile","Blinds, Low Emissivity Windows","Attached, Garage, Inside Entrance","Balcony, Covered, Patio","Gas, Multiple Heating Units","Block, Back Yard"
115,"$385,000",3,3,1409,8128 Sickle Ln Unit 3,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 418-5768,4,,"Central Air, Electric",,"Ceramic Tile, Laminate, Tile","Blinds, Window Treatments","Attached, Garage, RV Access/Parking, RV Paved",Patio,"Central, Gas","Block, Back Yard, Wrought Iron"
116,"$420,000",3,2,1242,7692 Plunging Falls Dr,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,702-456-4500,3,,"Central Air, Electric",75,"Carpet, Tile",Blinds,"Attached, Garage",,"Central, Gas","Block, Back Yard"
117,"$335,000",1,None,None,353 E Bonneville Ave Unit 906,RESALE,,,,,steve@davidsonrealestategroup.com,1,,"Electric, 1 Unit",521,,Blinds,"Assigned, Covered, Garage, Private",,"Central, Electric",
118,"$349,900",4,2,1368,4838 Fairfax Ave,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,(702) 606-1349,4,"eatures: Family Room, Gas, Glass Doors, Wood Burning","Central Air, Gas",,"Ceramic Tile, Laminate, Tile","Blinds, Double Pane Windows","Attached, Garage, Inside Entrance","Covered, Patio","Central, Electric, Gas","Block, Back Yard"
119,"$649,990",3,3,2007,358 Yacht Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,Jessica@HallenbeckTeam.com,3,"eatures: Family Room, Gas, Glass Doors","Central Air, Electric, 2 Units",34,"Carpet, Ceramic Tile, Laminate, Linoleum, Vinyl","Blinds, Double Pane Windows, Window Treatments","Attached, Garage, Garage Door Opener, Inside Entrance, RV Gated, RV Access/Parking","Balcony, Covered, Deck, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard, Wrought Iron"
120,"$361,490",3,2,1253,6264 Dolosonte St Unit lot 44,UNDER CONSTRUCTION,Tile,Townhouse,Yes,Public Sewer,(702) 812-2570,3,,"Central Air, Electric, ENERGY STAR Qualified Equipment",145,Other,"Blinds, Double Pane Windows, Low Emissivity Windows","Attached, Garage, Private","Balcony, Porch","Central, Gas",None
121,"$455,305",4,4,2041,6268 Dolosonte St Unit lot 45,UNDER CONSTRUCTION,Tile,Townhouse,Yes,Public Sewer,(702) 812-2570,5,,"Central Air, Electric, ENERGY STAR Qualified Equipment",145,Other,"Blinds, Double Pane Windows, Low Emissivity Windows","Attached, Garage, Inside Entrance, Private","Balcony, Deck, Porch","Central, Gas",None
122,"$449,000",3,3,2274,1755 Little Crow Ave,RESALE,"Composition, Shingle",Single Family Residence,Yes,Public Sewer,702-456-4500,4,,"Central Air, Electric",40,"Carpet, Tile",Blinds,"Attached, Garage",Patio,"Central, Gas","Block, Partial"
123,"$499,000",2,2,1599,9712 Sundial Dr,RESALE,Tile,Townhouse,Yes,Public Sewer,(702) 287-0297,3,"eatures: Electric, Family Room","Central Air, Electric", Frequency: Monthly,"Carpet, Laminate, Tile","Blinds, Double Pane Windows","Attached, Epoxy Flooring, Garage, Inside Entrance, Private, Shelves, Storage","Covered, Patio","Central, Gas","Front Yard, Stucco Wall, Wrought Iron"
124,"$712,000",2,3,3200,884 Vegas Valley Dr,RESALE,"Mansard, Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-506-7100,3,"eatures: Electric, Glass Doors, Great Room","Central Air, Electric, 2 Units", Frequency: Monthly,Laminate,"Double Pane Windows, Low Emissivity Windows","Attached, Finished Garage, Garage, Golf Cart Garage, Inside Entrance","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Brick, Back Yard"
125,"$725,000",2,3,2195,2777 Paradise Rd Unit 603,RESALE,,,,,702-940-9600,2,,"Electric, 1 Unit",1150,"Carpet, Marble, Tile",Drapes,"Assigned, Covered, Underground, Guest",Terrace,"Central, Gas",
126,"$899,900",4,4,3341,8009 Clock Tower Ct,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 427-6703,5,"eatures: Family Room, Gas, Glass Doors","Central Air, Electric, 2 Units", Frequency: Monthly,"Carpet, Tile","Double Pane Windows, Window Treatments","Attached, Epoxy Flooring, Finished Garage, Garage, Garage Door Opener, Private",Patio,"Central, Gas, Multiple Heating Units","Block, Back Yard"
127,"$180,000",3,3,1188,205 N 18th St Unit C,RESALE,"Composition, Shingle",Townhouse,,Public Sewer,lisa.lay24karatrealty@yahoo.com,3,,"Central Air, Electric",306,"Concrete, Ceramic Tile",Blinds,"Assigned, Covered",,"Central, Electric","Back Yard, Wood"
128,"$365,000",4,3,1655,6571 Churnet Valley Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-747-8624,4,,"Central Air, Electric",65,"Carpet, Linoleum, Tile, Vinyl",,"Attached, Garage",,"Central, Gas","Block, Back Yard"
129,"$300,000",2,1,None,201 S Vegas St,RESALE,"Composition, Shingle",Single Family Residence,,Septic Tank,(702) 401-2447,2,"eatures: Family Room, Wood Burning","Electric, Window Unit(s)",,"Carpet, Linoleum, Vinyl","Blinds, Double Pane Windows, Drapes",,,"Electric, Multiple Heating Units","Block, Back Yard, Stucco Wall"
130,"$255,000",2,2,1051,6445 Big Pine Way Unit 1,RESALE,Asphalt,Townhouse,Yes,Public Sewer,702-545-0800,2,,"Central Air, Electric",130,"Carpet, Ceramic Tile",,"Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance, Guest",Patio,"Central, Gas","Brick, Front Yard"
131,"$445,000",4,2,1687,5116 Amethyst Creek Ct Unit 2,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-818-1179,4,,"Central Air, Electric",90,"Carpet, Laminate","Blinds, Double Pane Windows","Attached, Garage","Covered, Patio","Central, Gas","Block, Back Yard"
132,"$710,000",4,3,2800,3080 Evening Mist Ave Unit 3,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 575-3047,5,"eatures: Family Room, Gas","Central Air, Electric, 2 Units", Frequency: Monthly,Tile,"Blinds, Double Pane Windows, Window Treatments","Attached, Epoxy Flooring, Garage, Inside Entrance, Shelves, Storage","Balcony, Covered, Patio","Central, Gas, Multiple Heating Units","Block, Back Yard"
133,"$275,000",3,2,1195,4641 Dover Straight St,RESALE,Tile,Townhouse,Yes,Public Sewer,702-310-6683,3,,"Central Air, Electric",245,Carpet,,"Attached, Garage, Inside Entrance, Private",Patio,"Central, Gas","Block, Back Yard"
134,"$400,000",3,3,1573,9366 Cowboy Rain Dr,RESALE,Tile,Single Family Residence,Yes,Public Sewer,pmskreta@kw.com,3,,"Central Air, Electric", Frequency: Quarterly,"Carpet, Ceramic Tile","Blinds, Drapes","Attached, Garage",Patio,"Central, Gas","Block, Back Yard"
135,"$485,000",3,2,2202,4048 Haflinger Ct,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,(702) 493-8044,4,,"Central Air, Electric",65,"Carpet, Tile",Blinds,"Attached, Garage, Inside Entrance, Tandem","Covered, Patio","Central, Gas","Block, Back Yard"
136,"$325,000",3,2,1308,8777 W Maule Ave Unit 2115,RESALE,Tile,Condominium,,Public Sewer,(702) 303-4717,3,,"Central Air, Electric",265,"Carpet, Tile","Blinds, Double Pane Windows, Window Treatments","Attached Carport, Assigned, Open, Uncovered",Balcony,"Central, Gas",None
137,"$279,900",3,2,1090,8501 W University Ave Unit 1048,RESALE,"Pitched, Tile",Condominium,,Public Sewer,702-258-8844,3,"eatures: Glass Doors, Living Room, Multi-Sided","Central Air, Electric, High Efficiency, Refrigerated",190,Tile,"Blinds, Double Pane Windows, Window Treatments","Assigned, Covered, Detached Carport, Guest",Patio,"Central, Gas, High Efficiency",None
138,"$1,140,000",2,3,2088,353 E Bonneville Ave Unit 1404,RESALE,,,,,(702) 682-0123,3,"eatures: Gas, Great Room","Electric, High Efficiency",682,Hardwood,"Low Emissivity Windows, Tinted Windows, Window Treatments","Assigned, Covered, Garage, Private, One Space",Terrace,"Central, Gas",
139,"$4,998,000",7,9,8400,32 Vintage Canyon St,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-305-7312,8,"eatures: Bedroom, Gas, Living Room, Primary Bedroom, Multi-Sided","Central Air, Electric, ENERGY STAR Qualified Equipment, High Efficiency", Frequency: Monthly,"Carpet, Hardwood, Marble","Blinds, Double Pane Windows, Insulated Windows, Low Emissivity Windows, Triple Pane Windows","Attached, Detached, Exterior Access Door, Garage, Golf Cart Garage, Garage Door Opener, Guest, Inside Entrance, Private, RV Garage, RV Hook-Ups, RV Gated, RV Access/Parking, RV Covered, RV Paved, Shelves, Storage, Tandem","Balcony, Covered, Patio","Central, Gas, High Efficiency, Zoned","Block, Back Yard, Wrought Iron"
140,"$350,000",4,3,1662,3705 Bronco Billy Ct,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-241-7990,4,,"Central Air, Electric",40,"Carpet, Ceramic Tile, Laminate",Double Pane Windows,"Attached, Garage, Garage Door Opener",,"Central, Gas","Block, Back Yard"
141,"$389,900",2,2,1165,8705 Millsboro Dr,RESALE,Tile,Townhouse,Yes,Public Sewer,702-303-8243,2,"eatures: Electric, Family Room, Living Room","Central Air, Electric", Frequency: Monthly,Laminate,Blinds,"Attached, Garage, Inside Entrance, Private","Covered, Patio","Central, Gas","Front Yard, Wrought Iron"
142,"$1,899,888",5,6,4696,3722 Caesars Cir,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-279-4858,6,"eatures: Electric, Family Room","Central Air, Electric",95,Tile,"Double Pane Windows, Skylight(s)","Attached, Detached, Garage, Garage Door Opener, Inside Entrance","Balcony, Covered, Patio","Central, Gas","Brick, Back Yard"
143,"$518,888",5,3,2976,9138 Mastodon Ave,RESALE,"Pitched, Tile",Single Family Residence,Yes,Public Sewer,702-360-2030,6,,"Central Air, Electric, 2 Units",49,"Carpet, Ceramic Tile","Blinds, Double Pane Windows","Attached, Finished Garage, Garage, Garage Door Opener, Inside Entrance","Covered, Patio","Central, Electric, Multiple Heating Units","Block, Back Yard"
144,"$295,000",1,None,None,4381 W Flamingo Rd Unit 1107,RESALE,,,,,702-560-5904,1,,Electric, Frequency: Annually,,"Drapes, Low Emissivity Windows","Assigned, One Space, Guest",,"Central, Gas",
145,"$549,900",5,4,2481,3494 Jade Flower St,RESALE,Tile,Single Family Residence,No,Public Sewer,702-799-9235,6,,"Central Air, Electric",50,"Carpet, Tile",Double Pane Windows,"Detached, Finished Garage, Garage",,"Central, Gas","Brick, Back Yard"
146,"$299,000",3,2,1280,5145 Margo Dr,RESALE,Asphalt,Single Family Residence,,Public Sewer,702-940-4500,3,"eatures: Living Room, Other","Central Air, Electric",,"Carpet, Laminate, Linoleum, Tile, Vinyl","Blinds, Skylight(s)",Attached Carport,"Covered, Patio","Central, Electric","Chain Link, Full, Wood"
147,"$340,000",4,3,1647,4655 Baby Bird Ln Unit 1,RESALE,Tile,Single Family Residence,Yes,Public Sewer,702-688-6315,4,,"Central Air, Electric",,"Carpet, Tile",,"Attached, Garage",,"Central, Gas","Block, Full"
148,"$1,675,000",4,4,3275,6757 Double Star St,RESALE,Tile,Single Family Residence,,Public Sewer,(702) 526-7809,5,,"Central Air, Electric, 2 Units", Frequency: Monthly,Tile,"Low Emissivity Windows, Window Treatments","Finished Garage, Garage Door Opener, Inside Entrance, Shelves, Tandem","Covered, Patio","Gas, Multiple Heating Units","Block, Back Yard"
149,"$695,000",5,4,3971,5442 Tartan Hill Ave,RESALE,Tile,Single Family Residence,Yes,Public Sewer,(702) 672-2851,5,"eatures: Gas, Living Room","Central Air, Electric, 2 Units",32,"Carpet, Linoleum, Tile, Vinyl","Blinds, Low Emissivity Windows","Attached, Garage",,"Central, Gas","Block, Back Yard"
